,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
0,100654,Alabama A & M University,0.079999998,46.84000015,47.97999954,1.480000019,3.789999962,94.73999786,49720.22,14.88000011,4.840000153,10.75,246,1741,34300,34.3,25300,Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.6538,0.653841286,850,0.0446,0.0023,0.0094,0,0,0.0164,0.0634,0,0.1268,0.1432,0.0587,0,0.0188,0,0.0235,0.0423,0,0.1009,0.0094,0,0,0,0,0,0.0188,0,0.0282,0.0282,0.0516,0.0399,0,0,0,0,0.0258,0,0.1479,0
1,100663,University of Alabama at Birmingham,0.25999999,69.01999664,27.76000023,1.100000024,2.029999971,96.5,55735.22,10.90999985,3.450000048,10.85999966,470,3474,46400,46.4,36300,University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.50223,-86.80917,0.6043,0.604275287,1147,0,0,0,0.0009,0.0426,0,0.0133,0,0.0815,0.0577,0,0.0069,0,0,0.0192,0.0179,0,0.0715,0.0124,0,0,0,0.0073,0,0.0174,0,0.087,0.0366,0.0238,0.0408,0,0,0,0,0.0376,0.2231,0.1837,0.0188
3,100706,University of Alabama in Huntsville,0.289999992,76.37999725,18.97999954,1.419999957,2.549999952,95.26999664,58688.62,9.369999886,3.640000105,10.93000031,188,1361,50500,50.5,32700,University of Alabama in Huntsville,Huntsville,AL,35899,34.722818,-86.63842,0.812,0.811970979,1221,0,0,0,0,0.0216,0,0.0315,0,0.0216,0.3027,0,0.0162,0,0,0.0126,0,0,0.0712,0.0198,0,0.0009,0,0.0072,0,0.0216,0,0.0171,0,0,0.0189,0,0,0,0,0.0288,0.1892,0.2072,0.0117
4,100724,Alabama State University,0.109999999,42.68999863,52.31999969,1.409999967,4.090000153,94.52999878,46065.2,16.95999908,4.809999943,10.67000008,285,1977,29500,29.5,20500,Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.4639,0.463858305,844,0,0,0,0,0.0945,0,0.0567,0,0.1531,0,0,0,0,0,0.0284,0,0,0.0794,0.0302,0,0,0.0151,0,0,0.0265,0,0.0624,0.1342,0.0548,0.0151,0,0,0,0,0.0473,0.0926,0.0983,0.0113
5,100751,The University of Alabama,0.100000001,75.34999847,21.05999947,1.200000048,2.410000086,96.08000183,57928.41,10.05000019,3.25999999,10.89999962,409,3648,49900,49.9,42600,The University of Alabama,Tuscaloosa,AL,35487-0166,33.2144,-87.545766,0.5359,0.535867193,1181,0,0.0039,0,0.0035,0.107,0,0.0067,0,0.0696,0.0788,0,0.0071,0.0714,0,0.0164,0,0,0.0378,0.0083,0,0.0256,0,0.0041,0,0.0095,0,0.035,0.0286,0.0102,0.0364,0,0,0,0,0.0295,0.1065,0.2886,0.0155
8,100830,Auburn University at Montgomery,0.319999993,59.97000122,37.20999908,0.910000026,1.620000005,96.84999847,50723.81,13,3.789999962,10.77999973,195,1409,37900,37.9,27800,Auburn University at Montgomery,Montgomery,AL,36117-3596,32.369939,-86.177351,0.7871,0.787089014,990,0,0.0017,0,0,0.0588,0,0,0,0.079,0,0,0.0067,0,0,0.0319,0.037,0,0.0571,0.0067,0,0,0.0336,0,0,0.0235,0,0.0387,0.0471,0,0.0336,0,0,0,0,0.0286,0.2555,0.2471,0.0134
9,100858,Auburn University,0.07,75.90000153,19.79999924,1.649999976,2.890000105,94.91999817,59005.4,9.590000153,3.140000105,10.89999962,415,4068,54100,54.1,41800,Auburn University,Auburn,AL,36849,32.604685,-85.482782,0.7766,0.776604512,1218,0.0433,0.0152,0.0175,0,0.0533,0,0.0066,0,0.0939,0.1741,0,0.0135,0.0331,0,0.0155,0,0,0.0873,0.0091,0,0.0223,0,0.0015,0,0.0135,0,0.0329,0,0.0214,0.0407,0,0,0,0,0.0367,0.0575,0.1989,0.0122
10,100937,Birmingham Southern College,0.02,78.90000153,17.40999985,1.389999986,2.460000038,95.69000244,64789.39,7.909999847,2.839999914,11.01000023,30,278,51000,51,36600,Birmingham Southern College,Birmingham,AL,35254,33.515453,-86.853636,0.5306,0.530578962,1167,0,0.0225,0,0,0.009,0,0,0,0.0495,0.009,0,0.0135,0,0,0.0405,0,0,0.1261,0.0405,0,0.027,0,0.0315,0,0.0721,0,0.1081,0,0,0.0856,0,0,0,0,0.0991,0,0.2207,0.045
16,101189,Faulkner University,0.620000005,64.87999725,31.88999939,1.049999952,1.809999943,96.58999634,52330.99,12.31000042,3.920000076,10.81000042,218,1263,41500,41.5,28800,Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,0.573,0.573014019,985,0,0,0,0,0,0,0.0112,0,0.0412,0,0,0,0,0.015,0.015,0.03,0,0.0112,0.0037,0,0,0.0318,0,0.0094,0,0,0.0206,0.1592,0,0.0075,0,0,0,0,0.0225,0.0412,0.5768,0.0037
23,101435,Huntingdon College,0.209999993,73.19999695,23.67000008,0.930000007,1.909999967,96.66000366,54037.99,10.60999966,3.289999962,10.85000038,44,308,42400,42.4,32000,Huntingdon College,Montgomery,AL,36106-2148,32.350939,-86.285313,0.5769,0.576943991,992,0,0,0,0,0.039,0,0,0,0.1039,0,0,0,0,0,0.0087,0,0,0.0823,0.0173,0,0,0.0823,0.0173,0.0087,0.0303,0,0.039,0,0,0.013,0,0,0,0,0.0303,0.0216,0.4848,0.0216
24,101453,Heritage Christian University,0.629999995,80.48000336,15.03999996,0.810000002,4.360000134,95.87000275,51048.04,10.64000034,3.220000029,10.78999996,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,#VALUE!,PrivacySuppressed,Heritage Christian University,Florence,AL,35630-9977,34.859089,-87.662062,0.7,0.7,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,101480,Jacksonville State University,0.239999995,76.95999908,19.70000076,0.670000017,2.660000086,96.69000244,48389.27,11.44999981,3.559999943,10.75,369,2411,37000,37,24600,Jacksonville State University,Jacksonville,AL,36265,33.822128,-85.766644,0.6665,0.666450567,1062,0,0,0,0,0.0354,0,0.0226,0,0.0663,0,0.0264,0.0023,0.0324,0,0.0286,0.0565,0,0.0444,0.0075,0,0,0.009,0,0,0.0128,0,0.0256,0.0602,0.0587,0.0294,0,0,0,0,0.0444,0.2877,0.1295,0.0203
30,101541,Judson College,0.219999999,72.30000305,24.63999939,0.569999993,2.700000048,97.05000305,46522.29,14.21000004,3.970000029,10.69999981,34,131,31600,31.6,26700,Judson College,Marion,AL,36756,32.630526,-87.316127,0.6292,0.629179331,1031,0.0615,0,0,0,0,0,0,0,0.0615,0,0,0,0,0,0.0154,0,0,0.1231,0,0,0,0,0.0308,0,0.0462,0,0.1231,0.0308,0.0308,0.0154,0,0,0,0,0.1077,0.2462,0.0615,0.0462
32,101587,University of West Alabama,0.209999993,55.49000168,42.47999954,0.400000006,1.710000038,98.01999664,40238.44,19.46999931,4.320000172,10.55000019,92,697,38500,38.5,24200,University of West Alabama,Livingston,AL,35470,32.59244,-88.186077,0.7347,0.734728033,930,0,0,0,0,0.0571,0,0,0,0.1878,0,0.0245,0,0,0,0.0122,0,0,0.0776,0.0286,0,0.0163,0.0449,0,0,0.0163,0,0.0367,0,0,0.0204,0,0.0245,0,0,0,0.2,0.2286,0.0245
34,101648,Marion Military Institute,0.029999999,72.26999664,21.42000008,1.620000005,7.429999828,92.75,56305.23,11.27000046,3.579999924,10.85999966,PrivacySuppressed,82,47900,47.9,30300,Marion Military Institute,Marion,AL,36756-3207,32.622359,-87.317998,0.5918,0.591814159,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,101693,University of Mobile,0.400000006,71.04000092,25.10000038,1.029999971,2.319999933,96.81999969,51833.34,12.48999977,3.940000057,10.81000042,97,706,38200,38.2,26300,University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,0.6051,0.605084746,1025,0,0,0,0,0.0303,0,0.0121,0,0.1727,0,0,0,0,0,0.003,0.0515,0,0.0394,0.0121,0,0.0303,0.0303,0.0606,0.0394,0,0,0.0212,0,0,0.0424,0,0,0,0,0.0394,0.2485,0.1636,0.003
37,101709,University of Montevallo,0.159999996,77.80000305,19.29999924,0.75999999,2.079999924,97.08999634,59047.15,9.340000153,2.950000048,10.93000031,108,798,36000,36,24700,University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,0.7001,0.700098814,1069,0,0,0,0,0.0533,0,0,0,0.06,0,0,0.0333,0.0333,0,0.1033,0,0,0.0433,0.0233,0,0,0.06,0,0,0.0233,0,0.0867,0,0.03,0.0367,0,0,0,0,0.14,0.0933,0.13,0.05
39,101879,University of North Alabama,0.189999998,83.76000214,13.22000027,0.550000012,2.049999952,97.55000305,48189.09,11.06999969,3.390000105,10.75,252,1460,40900,40.9,32300,University of North Alabama,Florence,AL,35632-0001,34.80658,-87.680999,0.58,0.579993974,1027,0,0,0,0,0.0458,0,0.0083,0,0.1,0,0,0.0094,0.0344,0,0.0177,0,0,0.0417,0.0052,0,0.0396,0.049,0,0,0.024,0,0.0156,0.0385,0.049,0.0594,0,0,0,0,0.0594,0.151,0.2313,0.0208
41,101912,Oakwood University,0.129999995,54.40000153,34.90999985,3.170000076,10.01000023,86.44999695,60906.45,10.61999989,4.25,10.96000004,74,505,37400,37.4,29100,Oakwood University,Huntsville,AL,35896,34.756628,-86.661628,0.4749,0.474899598,923,0,0,0,0,0.0674,0,0.0147,0,0.0293,0,0,0.0205,0.0059,0,0.0117,0.085,0,0.132,0.0117,0,0.0029,0,0,0.0587,0.0029,0,0.0733,0,0.0792,0.0323,0,0,0,0,0.0381,0.1613,0.1584,0.0147
46,102049,Samford University,0.129999995,80.91000366,14.69999981,1.690000057,3.25,94.63999939,69602.13,7.099999905,2.680000067,11.07999992,100,704,57400,57.4,56000,Samford University,Birmingham,AL,35229-2240,33.464578,-86.790932,0.933,0.933041302,1162,0,0.0052,0,0.0013,0.0762,0,0.0116,0,0.0465,0.0039,0,0.022,0.0568,0.0323,0.0155,0.0039,0,0.0362,0.0103,0,0.0013,0.0724,0.0233,0.0026,0.0026,0,0.0336,0,0.0078,0.0181,0,0,0,0,0.053,0.3114,0.1305,0.022
50,102094,University of South Alabama,0.319999993,71.43000031,24.68000031,1.460000038,1.700000048,96.5,51919.71,12.5,3.900000095,10.81000042,514,3054,45200,45.2,43000,University of South Alabama,Mobile,AL,36688-0002,30.695081,-88.18189,0.7816,0.781584906,1045,0,0,0,0,0.0421,0,0.0374,0,0.1007,0.0665,0,0.0083,0,0,0.0151,0,0,0.0493,0.0057,0,0.0415,0.0161,0.0036,0,0.0161,0,0.0343,0.0327,0.0166,0.0249,0,0,0,0,0.0286,0.3276,0.1199,0.013
51,102234,Spring Hill College,0.129999995,72.66000366,22.54000092,1.75999999,4.75,93.87999725,59048.32,10.76000023,3.569999933,10.92000008,52,426,48700,48.7,36600,Spring Hill College,Mobile,AL,36608-1791,30.694751,-88.138199,0.4132,0.41322873,1120,0,0,0,0,0.1031,0,0,0,0.0762,0.009,0,0,0,0,0.0224,0.0583,0,0.0807,0.0135,0,0.009,0,0.0359,0,0.009,0,0.1166,0,0,0.0717,0,0,0,0,0.0538,0.0583,0.2422,0.0404
52,102261,Southeastern Bible College,0.449999988,74.47000122,22.12999916,0.829999983,2.720000029,96.73000336,57076.95,9.920000076,3.039999962,10.89000034,31,92,35600,35.6,22300,Southeastern Bible College,Birmingham,AL,35244-2083,33.378935,-86.749045,1,1,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,102270,Stillman College,0.07,45.75,49.04999924,1.440000057,4.440000057,94.80999756,46186.31,16.22999954,4.809999943,10.68000031,79,510,29500,29.5,19600,Stillman College,Tuscaloosa,AL,35401,33.199228,-87.585242,0.5659,0.565900168,831,0,0,0,0,0.0246,0,0,0,0.0082,0,0,0,0,0,0.0082,0.041,0,0.3033,0,0,0,0.1393,0.0082,0.0082,0,0,0.1557,0,0,0,0,0,0,0,0.0246,0,0.1967,0.082
56,102368,Troy University,0.579999983,62.02000046,34,1.070000052,2.819999933,95.61000061,49132.68,12.98999977,3.849999905,10.76000023,721,4131,39400,39.4,27100,Troy University,Troy,AL,36082-0001,31.800128,-85.950191,0.9187,0.91865685,1046,0,0.0014,0,0,0.0267,0,0.0468,0,0.0609,0,0.0036,0.0079,0,0,0.0094,0.1041,0,0.0346,0.0094,0,0,0.0335,0,0,0.0025,0,0.1359,0.1276,0.0472,0.0753,0,0,0,0,0.0144,0.076,0.1632,0.0195
57,102377,Tuskegee University,0.02,42.84999847,47.15999985,2.849999905,8.989999771,89.73999786,54155.29,14.46000004,4.849999905,10.82999992,95,838,40900,40.9,27900,Tuskegee University,Tuskegee,AL,36088-1920,32.431021,-85.710315,0.5296,0.529552397,955,0.0926,0.0116,0.037,0,0,0,0.0139,0,0.0255,0.1829,0,0,0.0069,0,0.0231,0,0,0.1204,0.0139,0,0,0,0,0,0.0301,0,0.125,0,0.0208,0.0509,0,0,0,0,0,0.0463,0.1829,0.0162
62,102614,University of Alaska Fairbanks,0.360000014,69.34999847,4.679999828,2.49000001,4.679999828,93.38999939,65084.81,8.449999809,6.559999943,11.03999996,278,1218,42200,42.2,32700,University of Alaska Fairbanks,Fairbanks,AK,99775-7500,64.856483,-147.822943,0.731,0.731016731,1058,0.0016,0.0293,0,0.0041,0.0146,0,0.0081,0.0358,0.0293,0.0814,0.0285,0.0212,0.0146,0.0049,0.0138,0.0545,0,0.0431,0.0024,0,0.035,0,0.0008,0,0.0163,0.0024,0.0277,0.0846,0.0358,0.0342,0.0187,0.0423,0.0049,0.0024,0.0203,0.1497,0.1326,0.0049
64,102669,Alaska Pacific University,0.430000007,73.12999725,4.449999809,4.110000134,6.889999866,91.33000183,70542.98,7.050000191,4.71999979,11.11999989,29,160,45600,45.6,31600,Alaska Pacific University,Anchorage,AK,99508,61.191235,-149.804242,0.3891,0.389127325,985,0,0.0253,0,0,0,0,0,0,0.0506,0,0,0,0,0,0,0.0506,0,0.1772,0,0,0.0759,0.1772,0,0,0.0253,0,0.038,0,0.0759,0,0,0,0,0,0,0,0.3038,0
79,104151,Arizona State University-Tempe,0.25,78.76000214,3.49000001,2.900000095,19.20000076,86.95999908,69074.33,7.710000038,3.150000095,11.09000015,1704,12680,52600,52.6,40800,Arizona State University-Tempe,Tempe,AZ,85287,33.422247,-111.934629,0.8291,0.764818356,1158,0,0.0102,0.0159,0.0064,0.0478,0,0.0349,0,0.0524,0.0861,0.0016,0.014,0.0211,0.0119,0.0236,0.0003,0,0.0859,0.0115,0,0.0679,0.0009,0.0081,0,0.0099,0,0.0487,0,0,0.1049,0,0,0,0,0.0726,0.0114,0.2398,0.012
112,105589,Prescott College,0.639999986,81.87000275,3.279999971,2.619999886,15.36999989,89.04000092,62739.99,8.479999542,3.230000019,10.97999954,72,376,33900,33.9,23400,Prescott College,Prescott,AZ,86301,34.5445,-112.476509,0.7043,0.704268293,1039,0.0096,0.1923,0,0.0192,0,0,0,0,0.1154,0,0,0,0,0,0.0385,0.0769,0,0,0,0,0.0288,0.1346,0,0,0.0096,0,0.2885,0,0.0192,0.0481,0,0,0,0,0,0.0192,0,0
119,105899,Arizona Christian University,0.170000002,82.26999664,2.349999905,2.390000105,19.70999908,87.58999634,65520.64,7.190000057,3.049999952,11.05000019,PrivacySuppressed,112,33500,33.5,20500,Arizona Christian University,Phoenix,AZ,85032-7097,33.595117,-112.026211,0.5123,0.512345679,997,0,0,0,0,0.134,0,0,0,0.1546,0,0,0,0,0,0,0.0103,0,0.0309,0,0,0,0,0,0.1959,0,0,0.2268,0,0,0.0412,0,0,0,0,0.0103,0,0.1959,0
125,106245,University of Arkansas at Little Rock,0.430000007,70.05000305,26.06999969,1.019999981,2.569999933,96.62999725,51732.17,10.96000004,3.630000114,10.81000042,510,2666,38000,38,28000,University of Arkansas at Little Rock,Little Rock,AR,72204,34.726644,-92.341835,0.8983,0.898348813,990,0,0,0,0,0.0199,0,0.0258,0,0.0346,0.0223,0.0281,0.0252,0,0,0.0375,0.1125,0,0.0504,0.0064,0,0.0006,0,0.007,0,0.0182,0,0.0609,0.0615,0.0205,0.0305,0,0,0,0,0.0346,0.2185,0.1699,0.0152
131,106342,Lyon College,0.100000001,88.70999908,6.869999886,0.930000007,3.130000114,96.81999969,48616.43,10.38000011,3.190000057,10.73999977,30,174,43900,43.9,26300,Lyon College,Batesville,AR,72501,35.778934,-91.628115,0.5912,0.591163659,1120,0,0,0,0,0,0,0,0,0,0,0,0.0244,0,0,0.0813,0,0,0.2195,0.065,0,0,0,0.0163,0,0.0488,0,0.1463,0,0,0.0976,0,0,0,0,0.0813,0,0.1626,0.0569
134,106397,University of Arkansas,0.159999996,84.94999695,7.809999943,1.480000019,5.21999979,94.62999725,52450.53,9.56000042,3.799999952,10.82999992,382,2991,50400,50.4,44600,University of Arkansas,Fayetteville,AR,72701,36.06153,-94.178214,0.6006,0.600574433,1154,0.0533,0.0062,0.0164,0.0007,0.0742,0,0.0121,0,0.0409,0.0989,0,0.0124,0.0478,0,0.0262,0,0,0.0461,0.0052,0,0,0.0578,0.0031,0,0.0243,0,0.0328,0.0164,0.0086,0.0599,0,0,0,0,0.0321,0.0858,0.2149,0.024
135,106412,University of Arkansas at Pine Bluff,0.150000006,42.91999817,52.70000076,0.959999979,3.940000057,96.37999725,42634.24,18.12000084,5.320000172,10.61999989,186,1145,30200,30.2,22300,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.242192,-92.021263,0.4616,0.461590296,871,0.0585,0.0028,0,0,0.0195,0,0.0334,0,0.0836,0,0.0529,0,0.0613,0,0.0167,0.0836,0,0.1003,0.0056,0,0,0,0,0,0.0279,0,0.0669,0.1253,0.0362,0.039,0,0,0,0,0.0279,0.0195,0.1393,0
137,106458,Arkansas State University-Main Campus,0.310000002,83.26000214,13.94999981,0.49000001,1.929999948,98.04000092,42159.88,13.39000034,3.75,10.61999989,857,4484,36000,36,27400,Arkansas State University-Main Campus,Jonesboro,AR,72401,35.842779,-90.680478,0.7024,0.702394314,1088,0.0461,0.0065,0,0,0.0428,0,0.0172,0,0.1266,0.0191,0.0042,0.0023,0,0,0.0074,0.2058,0,0.0247,0.007,0,0.0028,0.0424,0.0023,0,0.0144,0,0.0363,0.0042,0.0168,0.0466,0,0,0,0,0.02,0.1778,0.1215,0.0051
141,106546,Baptist Health College-Little Rock,0.709999979,75.94999695,20.92000008,0.680000007,1.929999948,97.41999817,50522.63,10.64999962,3.690000057,10.80000019,43,318,45100,45.1,25300,Baptist Health College-Little Rock,Little Rock,AR,72210-2820,34.713115,-92.40692,0.3235,0.323529412,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,106704,University of Central Arkansas,0.129999995,79.80000305,16.56999969,0.720000029,2.50999999,97.20999908,48705.91,11.22999954,3.650000095,10.76000023,379,3001,40800,40.8,33400,University of Central Arkansas,Conway,AR,72035-0001,35.078196,-92.45931,0.9218,0.921785503,1068,0,0.0072,0,0.0007,0.0392,0,0.017,0,0.1073,0,0,0.0085,0.0654,0,0.032,0.0713,0,0.0419,0.0085,0,0.0072,0.0144,0.0039,0,0.0209,0,0.0595,0,0.0039,0.053,0,0,0,0,0.0641,0.1975,0.1602,0.0164
144,106713,Central Baptist College,0.289999992,83.27999878,12.46000004,0.810000002,2.980000019,97.05999756,50351.38,10.14000034,3.410000086,10.80000019,27,171,40100,40.1,32000,Central Baptist College,Conway,AR,72034,35.084574,-92.444102,0.4749,0.474860335,968,0,0,0,0,0.0078,0,0,0,0.0234,0,0,0,0,0,0,0.1719,0,0.0234,0,0.0156,0,0,0,0.2344,0,0,0.2031,0,0,0,0,0,0,0,0,0.0391,0.2813,0
153,107044,Harding University,0.07,84.52999878,8.899999619,1.820000052,5.730000019,94.29000092,61757.88,7.900000095,3.650000095,10.97000027,217,1381,44800,44.8,41700,Harding University,Searcy,AR,72149-5615,35.249605,-91.729008,0.992,0.992015968,1135,0,0,0,0,0.0529,0,0.0572,0,0.1273,0.0227,0,0.0108,0.0216,0,0.0054,0.0787,0,0.0291,0.0076,0,0.0054,0.068,0,0.0367,0.0065,0,0.0539,0.0129,0.0388,0.0129,0,0,0,0,0.0496,0.1327,0.1607,0.0086
154,107071,Henderson State University,0.180000007,78.79000092,16.47999954,0.769999981,4.300000191,96.33000183,45548.96,12.10999966,3.289999962,10.69999981,164,1092,38400,38.4,26100,Henderson State University,Arkadelphia,AR,71999-0001,34.127792,-93.060313,0.6334,0.63338616,988,0,0,0,0,0.0327,0,0.0091,0,0.1434,0.0018,0,0.0018,0.0381,0,0.0073,0.1307,0,0.0363,0.0091,0,0,0.0526,0,0,0.02,0,0.0871,0.0018,0.0345,0.0381,0,0,0,0.0399,0.078,0.0653,0.167,0.0054
155,107080,Hendrix College,0.01,81.62000275,11.77000046,2.00999999,5.559999943,93.79000092,63550.03,8.050000191,3.200000048,10.98999977,44,310,46200,46.2,29200,Hendrix College,Conway,AR,72032-3080,35.09972,-92.442021,0.8238,0.823803967,1270,0,0.0241,0,0,0,0,0.0345,0,0,0,0,0.0379,0,0,0.0966,0,0,0.1931,0.0138,0,0.0276,0.0103,0.0414,0,0.0655,0,0.0931,0,0,0.2,0,0,0,0,0.0414,0.0552,0.0379,0.0276
158,107141,John Brown University,0.409999996,85.83999634,5.010000229,1.559999943,6.519999981,94.12000275,56884.69,8.050000191,2.920000076,10.90999985,93,684,53600,53.6,36400,John Brown University,Siloam Springs,AR,72761,36.191077,-94.559088,0.7376,0.737564322,1209,0,0,0,0,0.043,0,0,0,0.0841,0.0523,0.0019,0.0093,0.0505,0,0.0206,0.0168,0,0.0393,0.0019,0,0.0168,0.0318,0.0019,0.0393,0.0206,0,0.0243,0,0,0.0056,0,0,0,0,0.0972,0,0.4206,0.0224
168,107512,Ouachita Baptist University,0.01,78.98999786,12.77999973,2.369999886,7.630000114,93.31999969,61306.22,8.659999847,3.160000086,10.96000004,65,416,43400,43.4,33200,Ouachita Baptist University,Arkadelphia,AR,71998-0001,34.125045,-93.052442,0.6845,0.684540787,1120,0,0,0,0,0.0799,0,0.0148,0,0.0858,0,0,0.0118,0,0,0.0148,0,0,0.1391,0.0207,0,0,0.071,0.0089,0.1213,0.0089,0,0.0444,0,0,0.0178,0,0,0,0,0.1124,0.0799,0.1331,0.0355
171,107558,University of the Ozarks,0.079999998,85.80000305,6.570000172,1.129999995,7.28000021,94.31999969,51329.59,10.18999958,3.480000019,10.78999996,33,215,42200,42.2,25100,University of the Ozarks,Clarksville,AR,72830,35.477785,-93.467924,0.9677,0.967741935,1034,0,0.0513,0,0,0.0598,0,0,0,0.188,0,0,0.0171,0,0,0.0427,0.0427,0,0.094,0.0427,0,0,0,0.0085,0,0.0256,0,0.0256,0,0,0.0513,0,0,0,0,0.0427,0.0513,0.2564,0
172,107585,University of Arkansas Community College-Morrilton,0.449999988,90.13999939,6.329999924,0.430000007,2.349999905,97.69000244,44557.97,11.19999981,3.660000086,10.68999958,194,809,30000,30,23400,University of Arkansas Community College-Morrilton,Morrilton,AR,72110,35.172136,-92.728507,0.6647,0.664725458,930,0,0,0,0,0,0,0.0212,0,0.0079,0,0.2368,0,0.0437,0,0,0.3399,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0.0741,0.0556,0,0.0106,0.1495,0.0595,0
183,107877,Williams Baptist College,0.129999995,90.87000275,6.099999905,0.389999986,1.700000048,98.18000031,42485.2,12.13000011,3.380000114,10.63000011,27,253,34800,34.8,23300,Williams Baptist College,Walnut Ridge,AR,72476,36.126825,-90.939876,0.6375,0.637457045,1010,0,0,0,0,0,0,0.0225,0,0.3034,0,0,0,0,0,0.0112,0.2809,0,0.0674,0,0,0,0,0,0.0449,0,0,0.1573,0,0,0,0,0,0,0,0,0,0.1124,0
185,107983,Southern Arkansas University Main Campus,0.219999999,67.48000336,28.75,0.620000005,3.559999943,97.12999725,42416.87,14.65999985,4.050000191,10.63000011,152,910,37900,37.9,35700,Southern Arkansas University Main Campus,Magnolia,AR,71753,33.291195,-93.235087,0.6748,0.674782609,988,0.0577,0,0,0,0.017,0,0.0119,0,0.1053,0,0,0.0051,0,0,0.0051,0.1834,0,0.0611,0.0034,0,0,0.034,0,0,0.0458,0,0.0509,0.0458,0.0289,0.0068,0,0,0,0,0.0289,0.1121,0.1868,0.0102
207,109785,Azusa Pacific University,0.319999993,68.41999817,4.340000153,8.489999771,27.78000069,79.37000275,73950.46,7.949999809,3.829999924,11.17000008,280,2227,54200,54.2,36600,Azusa Pacific University,Azusa,CA,91702-7000,34.130865,-117.88795,0.809,0.809007232,1080,0,0,0,0.0084,0.0553,0,0.0101,0,0.0525,0,0,0.0028,0,0,0.0246,0.0832,0,0.0173,0.005,0,0,0,0.0045,0.0385,0.0045,0,0.105,0,0.0251,0.0413,0,0,0,0,0.0771,0.23,0.2066,0.0084
212,110097,Biola University,0.170000002,70.06999969,4.289999962,8.619999886,24.81999969,79.95999908,75484.4,7.46999979,3.630000114,11.18000031,214,1155,48900,48.9,37100,Biola University,La Mirada,CA,90639-0001,33.904823,-118.017342,0.6985,0.698502839,1115,0,0.0033,0,0,0.1017,0,0.0066,0,0.0707,0,0,0,0,0,0.0486,0,0,0.0453,0.0033,0,0.0475,0.0155,0.0055,0.0983,0.0011,0,0.0961,0,0,0.0906,0,0,0,0,0.1282,0.0851,0.1271,0.0254
220,110361,California Baptist University,0.289999992,65.83000183,7.139999866,5.079999924,31.14999962,82.31999969,66849.57,9.909999847,4.420000076,11.06999969,157,987,45100,45.1,42900,California Baptist University,Riverside,CA,92504-3297,33.928569,-117.42587,0.6541,0.654066986,960,0,0.0008,0,0,0.0569,0.0327,0.0016,0,0.0389,0.0452,0.0031,0.0047,0,0,0.0218,0.0693,0,0.0413,0.0086,0,0.0273,0.0678,0.0171,0.0093,0,0,0.0896,0.0382,0.0031,0.0483,0,0,0,0.0008,0.0202,0.1698,0.1713,0.0125
223,110404,California Institute of Technology,0.07,72.12000275,5.519999981,11.39000034,16.25,78.83999634,81448.64,6.650000095,3.140000105,11.23999977,PrivacySuppressed,118,85800,85.8,62800,California Institute of Technology,Pasadena,CA,91125,34.139275,-118.12574,0.0881,0.088072548,1544,0,0,0,0,0,0,0.2105,0,0,0.3509,0,0,0,0,0,0,0,0.0833,0.1184,0,0,0,0,0,0.2237,0,0,0,0,0.0044,0,0,0,0,0,0,0.0088,0
